Name,Formula,Molecular Weight,RT [min],Area (Max.),sample,area,count,RT,Class,FA,FA Group Key,TC,DB,Batch,StandardsName,Conc,log.conc,slope,intercept,adj.r.squared,conc_mgmL
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard6B2.raw (F14),58613739.9187806,29,8.31,PI,16:0_18:2,34_2,34,2,B2,6,50,1.6989700043360187,1.1555604689652457,5.798524649989888,0.9802943951471738,5.497788556192904
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: standard13B2.raw (F18),253420.78855993,32,3.061,LPC,18:01,18_1,18,1,B2,13,0.1,-1,1.1514973857308464,6.473710089244089,0.9351493829908879,0.39490497996623164
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: standard13B2.raw (F18),24173.7735578011,12,15.418,DG,18:1_18:1,36_2,36,2,B2,13,0.1,-1,1.3351249758514996,5.464299097679578,0.8433461549480881,0.44502355617838185
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: standard13B2.raw (F18),102507.252507006,32,11.847,PE,16:0_18:1,34_1,34,1,B2,13,0.1,-1,1.1014497904278249,6.106339668906492,0.9856622053798972,0.36984345452410117
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: standard13B2.raw (F18),147168.08880171,19,15.36,PEp,18:0_18:1,36_1,36,1,B2,13,0.1,-1,1.2001129425328938,6.357351219803734,0.9917672842791492,0.3711355130402657
PS(34:0_17:0),C40 H78 N O10 P,763.53502,12.132,95165866.063891,Area: standard13B2.raw (F18),21876.8248541689,26,12.03,PS,17:0_17:0,34_0,34,0,B2,13,0.1,-1,1.2915151854022864,5.825843343862908,0.9703827288242113,0.3164856378070883
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: standard13B2.raw (F18),712013.714852452,20,11.462,PC,18:1_18:1,36_2,36,2,B2,13,0.1,-1,1.0894256306157475,6.926922552035866,0.9858610700281698,0.37297677144756497
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: standard13B2.raw (F18),913653.08322382,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B2,13,0.1,-1,0.9082195262353197,6.844702757262392,0.9971344712250704,0.3778543580613808
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: standard14B2.raw (F22),2949925.56948595,32,3.061,LPC,18:01,18_1,18,1,B2,14,1,0,1.1514973857308464,6.473710089244089,0.9351493829908879,0.9966196734090186
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: standard14B2.raw (F22),108335.244648727,24,12.21,Cer,18:1_17:0,35_1,35,1,B2,14,1,0,1.388959924498786,5.075097075453331,0.9746953525059584,0.9713832658084215
