Name,Formula,MainIon,Calc Mass,Class,FA,FA Group Key
PC(16:1_18:2),C42 H78 O8 N1 P1,#NAME?,755.5465,PC,16:1_18:2,34:03:00
PC(16:1_18:3),C42 H76 O8 N1 P1,#NAME?,753.5309,PC,16:1_18:3,34:04:00
PC(16:2_18:2),C42 H76 O8 N1 P1,#NAME?,753.5309,PC,16:2_18:2,34:04:00
PC(17:0_18:1),C43 H84 O8 N1 P1,#NAME?,773.5935,PC,17:0_18:1,35:01:00
PC(17:0_18:1),C43 H84 O8 N1 P1,#NAME?,773.5935,PC,17:0_18:1,35:01:00
PC(17:1_18:1),C43 H82 O8 N1 P1,#NAME?,771.5778,PC,17:1_18:1,35:02:00
PC(18:0_16:0),C42 H84 O8 N1 P1,#NAME?,761.5935,PC,18:0_16:0,34:00:00
PC(18:0_17:0),C43 H86 O8 N1 P1,#NAME?,775.6091,PC,18:0_17:0,35:00:00
PC(18:0_18:1),C44 H86 O8 N1 P1,#NAME?,787.6091,PC,18:0_18:1,36:01:00
PC(18:0_18:2),C44 H84 O8 N1 P1,#NAME?,785.5935,PC,18:0_18:2,36:02:00
PC(18:0_18:3),C44 H82 O8 N1 P1,#NAME?,783.5778,PC,18:0_18:3,36:03:00
PC(18:0e_18:3),C44 H84 O7 N1 P1,#NAME?,769.5985,PC,18:0e_18:3,36:3e
PC(18:1_18:1),C44 H84 O8 N1 P1,#NAME?,785.5935,PC,18:1_18:1,36:02:00
PC(18:1_18:1),C44 H84 O8 N1 P1,#NAME?,785.5935,PC,18:1_18:1,36:02:00
PC(18:1_18:1),C44 H84 O8 N1 P1,#NAME?,785.5935,PC,18:1_18:1,36:02:00
