Name,LSFormula,RT,MainIon,Calc Mass,Class,FA,FA Group Key,C,H,N,O,P,S,Formula
PC(18:1_18:1),C44 H84 O8 N1 P1,11.253,+H,785.5935,PC,18:1_18:1,36:2,44,84,1,8,1,,C44H84NO8P
PC(18:1_18:1),C44 H84 O8 N1 P1,11.335,+H,785.5935,PC,18:1_18:1,36:2,44,84,1,8,1,,C44H84NO8P
PC(18:1_18:1),C44 H84 O8 N1 P1,11.338,+H,785.5935,PC,18:1_18:1,36:2,44,84,1,8,1,,C44H84NO8P
PC(18:1_18:2),C44 H82 O8 N1 P1,9.59,+H,783.5778,PC,18:1_18:2,36:3,44,82,1,8,1,,C44H82NO8P
PC(18:1_18:3),C44 H80 O8 N1 P1,8.349,+H,781.5622,PC,18:1_18:3,36:4,44,80,1,8,1,,C44H80NO8P
PC(18:1_18:3),C44 H80 O8 N1 P1,9.332,+H,781.5622,PC,18:1_18:3,36:4,44,80,1,8,1,,C44H80NO8P
PC(18:2_14:1),C40 H74 O8 N1 P1,6.662,+H,727.5152,PC,18:2_14:1,32:3,40,74,1,8,1,,C40H74NO8P
PC(18:3_18:2),C44 H78 O8 N1 P1,7.115,+H,779.5465,PC,18:3_18:2,36:5,44,78,1,8,1,,C44H78NO8P
PC(18:3_18:2),C44 H78 O8 N1 P1,7.887,+H,779.5465,PC,18:3_18:2,36:5,44,78,1,8,1,,C44H78NO8P
PC(18:3_18:3),C44 H76 O8 N1 P1,6.242,+H,777.5309,PC,18:3_18:3,36:6,44,76,1,8,1,,C44H76NO8P
PC(18:3_18:3),C44 H76 O8 N1 P1,6.93,+H,777.5309,PC,18:3_18:3,36:6,44,76,1,8,1,,C44H76NO8P
PC(19:0_18:1),C45 H88 O8 N1 P1,14.194,+H,801.6248,PC,19:0_18:1,37:1,45,88,1,8,1,,C45H88NO8P
PC(20:0_18:1),C46 H90 O8 N1 P1,14.731,+H,815.6404,PC,20:0_18:1,38:1,46,90,1,8,1,,C46H90NO8P
PC(20:0_18:1),C46 H90 O8 N1 P1,15.857,+H,815.6404,PC,20:0_18:1,38:1,46,90,1,8,1,,C46H90NO8P
